"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"BFC","BESTON GLOBAL FOOD COMPANY LIMITED","2015-08-28","Food, Beverage & Tobacco",47929125
"BFG","BELL FINANCIAL GROUP LIMITED","2007-12-12","Diversified Financials",319140228
"BFL","BSP FINANCIAL GROUP LIMITED","2021-05-25","Banks",2266016898
"BGA","BEGA CHEESE LIMITED","2011-08-19","Food, Beverage & Tobacco",1148736621
"BGD","BARTON GOLD HOLDINGS LIMITED","2021-06-28","Materials",36938958
"BGE","BRIDGE SAAS LIMITED","2022-10-06","Software & Services",6538738
"BGL","BELLEVUE GOLD LIMITED","2005-12-20","Materials",1270370744
"BGP","BRISCOE GROUP AUSTRALASIA LIMITED","2017-07-20","Retailing",1131039577
"BGT","BIO-GENE TECHNOLOGY LTD","2017-11-29","Materials",17703332
"BHD","BENJAMIN HORNIGOLD LIMITED","2017-05-12","Not Applic",5555705
"BHP","BHP GROUP LIMITED","1885-08-13","Materials",234294200715
"BIM","BINDI METALS LIMITED","2022-06-28","Materials",5643000
"BIO","BIOME AUSTRALIA LIMITED","2021-11-30","Household & Personal Products",15193149
"BIR","BIR FINANCIAL LIMITED","2006-07-31","Diversified Financials",10394638
"BIS","BISALLOY STEEL GROUP LIMITED","2003-06-23","Materials",104390123
"BIT","BIOTRON LIMITED","2001-01-24","Pharmaceuticals, Biotechnology & Life Sciences",25254116
"BKG","BOOKTOPIA GROUP LIMITED","2020-12-03","Retailing",27471860
"BKI","BKI INVESTMENT COMPANY LIMITED","2003-12-12","Not Applic",1330983843
"BKL","BLACKMORES LIMITED","1985-05-02","Household & Personal Products",1449497227
"BKT","BLACK ROCK MINING LIMITED","2003-12-10","Materials",122830504
"BKW","BRICKWORKS LIMITED","1962-06-30","Materials",3408758721
"BKY","BERKELEY ENERGIA LIMITED","2003-09-16","Energy",131510031
"BLD","BORAL LIMITED.","2000-02-21","Materials",3165863763
"BLG","BLUGLASS LIMITED","2006-09-22","Semiconductors & Semiconductor Equipment",34828344
